Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ2,Buzzer,Indicator_PUI_AI-1440-TWT-24V-2-R,201.8,-91.1,-90.0,top
C1,100uf,CP_Elec_6.3x7.7,191.615,-69.325,-90.0,top
C2,100uf,CP_Elec_6.3x7.7,143.9,-69.6,-90.0,top
C3,0.1uF,C_0603_1608Metric,141.5,-120.8,0.0,top
C4,4.7uf,C_0603_1608Metric,194.0,-136.675,90.0,top
C5,220uf,CP_Elec_6.3x7.7,202.1,-143.4,-90.0,top
C6,0.1uf,C_0603_1608Metric,197.0,-143.7,90.0,top
C9,2.2uF,C_0603_1608Metric,167.15,-128.225,-90.0,top
C10,0.1uf,C_0603_1608Metric,144.875,-120.8,180.0,top
C11,4.7uf,C_0603_1608Metric,196.0,-136.7,90.0,top
C12,2.2uF,C_0603_1608Metric,167.15,-131.9,-90.0,top
C13,0.01uf,C_0603_1608Metric,183.7,-133.4,90.0,top
C14,0.1uf/16V,C_0603_1608Metric,173.825,-90.85,90.0,top
C15,0.1uF/50V,C_0603_1608Metric,133.925,-87.8,0.0,top
C16,22pf/16V,C_0603_1608Metric,174.5675,-113.275,90.0,top
C17,22pf/16V,C_0603_1608Metric,180.6675,-113.3,-90.0,top
C18,0.1uf/16V,C_0603_1608Metric,180.85,-105.95,180.0,top
C19,0.1uf/16V,C_0603_1608Metric,184.925,-91.975,90.0,top
C20,0.1uf/16V,C_0603_1608Metric,184.925,-103.625,-90.0,top
C21,0.1uf/16V,C_0603_1608Metric,172.725,-103.35,-90.0,top
C22,0.1uf/16V,C_0603_1608Metric,173.5,-105.65,180.0,top
C23,220uf,CP_Elec_6.3x7.7,176.8,-143.1,-90.0,top
CH1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,211.6,-108.3,90.0,top
CH2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,211.6,-112.1,90.0,top
CH4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,211.6,-104.4,90.0,top
CH5,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,211.62,-100.53,90.0,top
D1,B340,D_SMA,194.3,-131.4,0.0,top
D2,LED,LED_0805_2012Metric,165.8875,-66.825,0.0,top
D3,LED,LED_0805_2012Metric,165.925,-70.5625,0.0,top
D4,LED,LED_0805_2012Metric,178.7625,-66.8,0.0,top
D5,LED,LED_0805_2012Metric,178.7625,-70.3,0.0,top
J1,DC母座(大),DC母座(大),208.695,-131.63,90.0,top
J2,Conn_01x06,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,149.5,-57.9,180.0,top
J3,HC-05,PinSocket_1x06_P2.54mm_Vertical,208.235,-81.0,-90.0,top
J4,Conn_01x06,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,197.25,-57.85,180.0,top
J13,Conn_01x02,CONN-TH_2P-P5.08,211.2785,-120.1925,90.0,top
J16,HC-05,PinHeader_1x06_P2.54mm_Vertical,151.03,-81.025,-90.0,top
K210,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,212.625,-90.45,90.0,top
KEY1,K1,SW_Push_1P1T_NO_6x6mm,142.45,-141.325,90.0,top
KEY2,K2,SW_Push_1P1T_NO_6x6mm,150.25,-141.325,90.0,top
KEY3,K3,SW_Push_1P1T_NO_6x6mm,157.75,-141.325,90.0,top
KEY4,K4,SW_Push_1P1T_NO_6x6mm,165.95,-141.3,-90.0,top
L2,22uh,L_Wuerth_HCI-1040,176.9,-131.8,-90.0,top
MPU6050,Conn_01x08,MPU6050-GY-521,148.0885,-100.992,0.0,top
OLED1,OLED_0.96,0.96OLED_4P,175.03,-99.599,0.0,top
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,133.695,-126.41,-90.0,top
PB2 PB3,Conn_02x08_Counter_Clockwise,PinHeader_2x08_P2.54mm_Vertical,132.935,-101.375,0.0,top
Q1,S8050,SOT-23,196.8375,-100.55,0.0,top
R1,0.15R 1206 1WOCP=3.3V/10/0.15R=2.2A,R_1206_3216Metric,157.3,-69.4,-90.0,top
R2,0.15R 1206 1WOCP=3.3V/10/0.15R=2.2A,R_1206_3216Metric,205.315,-69.5875,90.0,top
R3,0,R_0603_1608Metric,148.9,-122.8,180.0,top
R4,0,R_0603_1608Metric,148.975,-125.9,180.0,top
R5,10k,R_0603_1608Metric,169.2875,-66.925,0.0,top
R6,10k,R_0603_1608Metric,169.4625,-70.6,0.0,top
R7,10k,R_0603_1608Metric,182.3875,-67.0,0.0,top
R8,10k,R_0603_1608Metric,182.4625,-70.2,0.0,top
R9,5.1K,R_0603_1608Metric,134.57,-120.31,0.0,top
R12,20,R_0603_1608Metric,192.5375,-100.25,-90.0,top
R13,5.1K,R_0603_1608Metric,134.695,-132.61,180.0,top
R14,R,R_0603_1608Metric,183.75,-140.5,0.0,top
R15,10K,R_0603_1608Metric,137.125,-87.8,0.0,top
R16,1M,R_0603_1608Metric,177.5675,-116.3,0.0,top
R17,10k,R_0603_1608Metric,170.025,-99.95,90.0,top
R18,3.2k,R_0603_1608Metric,187.225,-140.5,0.0,top
SW7,RST,SW_SPST_FSMSM,135.9,-84.5,0.0,top
U1,STM32F103RCTx,LQFP-64_10x10mm_P0.5mm,178.8,-97.7,90.0,top
U2,~,SOT-363_SC-70-6,153.9,-75.7,180.0,top
U3,~,SOT-363_SC-70-6,202.4,-75.3,180.0,top
U4,~,SOT-363_SC-70-6,198.9,-75.25,180.0,top
U5,DRV8870DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,152.5,-69.25,90.0,top
U6,~,SOT-363_SC-70-6,150.5,-75.7,180.0,top
U7,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,189.1,-136.6,0.0,top
U8,DRV8870DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,201.015,-69.075,90.0,top
U10,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,143.3,-127.2,0.0,top
U11,SGM2212-3.3XKC3G/TR,SOT-223,161.4,-129.8,180.0,top
UART1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,164.5,-55.0,180.0,top
UART2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,183.0,-54.925,180.0,top
UART3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,178.4,-54.925,180.0,top
UART4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,173.8,-54.925,180.0,top
UART5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,169.2,-54.925,180.0,top
Y1,Crystal_GND24(8M),Crystal_SMD_3225-4Pin_3.2x2.5mm,177.6,-113.45,0.0,top
